이름,lbl,지역구,ADM_DR_NM,8_num,생산인?,유동인?,경도,위도
다사609446,493,강남구,대치4동,11680630,21825.547,84.832,127.0582078,37.50028867
다사599421,399,강남구,개포4동,11680690,5768.702,62.565,127.0470307,37.47771232
다사583463,113,강남구,논현1동,11680521,5282.249,30.875,127.0286972,37.5154977
다사647416,328,강남구,세곡동,11680700,8618.067,45.528,127.1013418,37.47340123
다사601433,411,강남구,도곡2동,11680656,7882.72,71.258,127.0496998,37.48874801
다사642411,73,강남구,세곡동,11680700,2154.517,11.382,127.0957115,37.46887527
다사623440,228,강남구,일원2동,11680740,5126.635,24.31,127.074077,37.49493879
다사586475,212,강남구,압구정동,11680545,8525.785,83.184,127.0320243,37.5263272
다사617441,599,강남구,대치2동,11680610,18090.977,135.075,127.0672843,37.49581547
다사606460,284,강남구,삼성1동,11680580,20017.711,178.087,127.0547389,37.51289467
다사588441,391,강남구,역삼1동,11680640,26226.364,181.64,127.0344781,37.49569075
다사599472,14,강남구,청담동,11680565,0,0,127.0467529,37.52368057
다사603444,316,강남구,대치4동,11680630,13888.985,53.984,127.0518749,37.498654
다사603452,391,강남구,대치4동,11680630,16865.196,65.552,127.0517309,37.50528972
다사594463,168,강남구,논현2동,11680531,7492.837,60.48,127.0411442,37.51554671
다사652416,126,강남구,세곡동,11680700,3231.775,17.073,127.1069964,37.47342017
다사584452,250,강남구,논현1동,11680521,11620.947,67.925,127.0294326,37.50600363
다사675501,588,강동구,암사1동,11740570,9166.92,20.79,127.1326323,37.55011826
다사701514,354,강동구,고덕2동,11740560,6438.107,43.719,127.1620136,37.56192362
다사667487,313,강동구,풍납1동,11710510,7018.711,41.135,127.1231067,37.537824
다사673487,426,강동구,천호3동,11740620,8732.523,19.084,127.1304304,37.53749241
다사670480,703,강동구,성내2동,11740650,13559.781,128.455,127.1273856,37.53149196
다사673475,326,강동구,성내1동,11740640,7370.687,28.21,127.130065,37.52682724
다사678485,67,강동구,길동,11740685,1346.676,3.89,127.1360987,37.5357073
